Title,Winner,Award,Year
"Nomadland",Y,Picture,2020
"Judas and the Black Messiah",N,Picture,2020
"Mank",N,Picture,2020
"Minari",N,Picture,2020
"Promising Young Woman",N,Picture,2020
"Sound of Metal",N,Picture,2020
"The Father",N,Picture,2020
"The Trial of the Chicago 7",N,Picture,2020
"Anthony Hopkins",Y,Actor,2020
"Riz Ahmed",N,Actor,2020
"Chadwick Boseman",N,Actor,2020
"Gary Oldman",N,Actor,2020
"Steven Yeun",N,Actor,2020
"Frances McDormand",Y,Actress,2020
"Viola Davis",N,Actress,2020
"Andra Day",N,Actress,2020
"Vanessa Kirby",N,Actress,2020
"Carey Mulligan",N,Actress,2020
"Daniel Kaluuya",Y,Supporting Actor,2020
"Sacha Baron Cohen",N,Supporting Actor,2020
"Leslie Odom Jr.",N,Supporting Actor,2020
"Paul Raci",N,Supporting Actor,2020
"LaKeith Stanfield",N,Supporting Actor,2020
"Youn Yuh-jung",Y,Supporting Actress,2020
"Maria Bakalova",N,Supporting Actress,2020
"Glenn Close",N,Supporting Actress,2020
"Olivia Colman",N,Supporting Actress,2020
"Amanda Seyfried",N,Supporting Actress,2020
"Parasite",Y,Picture,2019
"1917",N,Picture,2019
"Ford v Ferrari",N,Picture,2019
"Jojo Rabbit",N,Picture,2019
"Joker",N,Picture,2019
"Little Women",N,Picture,2019
"Marriage Story",N,Picture,2019
"Once Upon a Time in Hollywood",N,Picture,2019
"The Irishman",N,Picture,2019
"Joaquin Phoenix",Y,Actor,2019
"Leonardo DiCaprio",N,Actor,2019
"Adam Driver",N,Actor,2019
"Antonio Banderas",N,Actor,2019
"Jonathan Pryce",N,Actor,2019
"Renée Zellweger",Y,Actress,2019
"Cynthia Erivo",N,Actress,2019
"Scarlett Johansson",N,Actress,2019
"Saoirse Ronan",N,Actress,2019
"Charlize Theron",N,Actress,2019
"Brad Pitt",Y,Supporting Actor,2019
"Tom Hanks",N,Supporting Actor,2019
"Anthony Hopkins",N,Supporting Actor,2019
"Al Pacino",N,Supporting Actor,2019
"Joe Pesci",N,Supporting Actor,2019
"Laura Dern",Y,Supporting Actress,2019
"Kathy Bates",N,Supporting Actress,2019
"Scarlett Johansson",N,Supporting Actress,2019
"Florence Pugh",N,Supporting Actress,2019
"Margot Robbie",N,Supporting Actress,2019
"Green Book",Y,Picture,2018
"A Star Is Born",N,Picture,2018
"Black Panther",N,Picture,2018
"BlacKkKlansman",N,Picture,2018
"Bohemian Rhapsody",N,Picture,2018
"Roma",N,Picture,2018
"The Favourite",N,Picture,2018
"Vice",N,Picture,2018
"Rami Malek",Y,Actor,2018
"Christian Bale",N,Actor,2018
"Bradley Cooper",N,Actor,2018
"Willem Dafoe",N,Actor,2018
"Viggo Mortensen",N,Actor,2018
"Olivia Colman",Y,Actress,2018
"Yalitza Aparicio",N,Actress,2018
"Glenn Close",N,Actress,2018
"Lady Gaga",N,Actress,2018
"Melissa McCarthy",N,Actress,2018
"Mahershala Ali",Y,Supporting Actor,2018
"Adam Driver",N,Supporting Actor,2018
"Sam Elliott",N,Supporting Actor,2018
"Richard E. Grant",N,Supporting Actor,2018
"Sam Rockwell",N,Supporting Actor,2018
"Regina King",Y,Supporting Actress,2018
"Amy Adams",N,Supporting Actress,2018
"Marina de Tavira",N,Supporting Actress,2018
"Emma Stone",N,Supporting Actress,2018
"Rachel Weisz",N,Supporting Actress,2018
"The Shape of Water",Y,Picture,2017
"Call Me by Your Name",N,Picture,2017
"Darkest Hour",N,Picture,2017
"Dunkirk",N,Picture,2017
"Get Out",N,Picture,2017
"Lady Bird",N,Picture,2017
"Phantom Thread",N,Picture,2017
"The Post",N,Picture,2017
"Three Billboards Outside Ebbing, Missouri",N,Picture,2017
"Gary Oldman",Y,Actor,2017
"Timothée Chalamet",N,Actor,2017
"Daniel Day-Lewis",N,Actor,2017
"Daniel Kaluuya",N,Actor,2017
"Denzel Washington",N,Actor,2017
"Frances McDormand",Y,Actress,2017
"Sally Hawkins",N,Actress,2017
"Margot Robbie",N,Actress,2017
"Saoirse Ronan",N,Actress,2017
"Meryl Streep",N,Actress,2017
"Sam Rockwell",Y,Supporting Actor,2017
"Willem Dafoe",N,Supporting Actor,2017
"Woody Harrelson",N,Supporting Actor,2017
"Richard Jenkins",N,Supporting Actor,2017
"Christopher Plummer",N,Supporting Actor,2017
"Allison Janney",Y,Supporting Actress,2017
"Mary J. Blige",N,Supporting Actress,2017
"Lesley Manville",N,Supporting Actress,2017
"Laurie Metcalf",N,Supporting Actress,2017
"Octavia Spencer",N,Supporting Actress,2017
"Moonlight",Y,Picture,2016
"Arrival",N,Picture,2016
"Fences",N,Picture,2016
"Hacksaw Ridge",N,Picture,2016
"Hell or High Water",N,Picture,2016
"Hidden Figures",N,Picture,2016
"La La Land",N,Picture,2016
"Lion",N,Picture,2016
"Manchester by the Sea",N,Picture,2016
"Casey Affleck",Y,Actor,2016
"Andrew Garfield",N,Actor,2016
"Ryan Gosling",N,Actor,2016
"Viggo Mortensen",N,Actor,2016
"Denzel Washington",N,Actor,2016
"Emma Stone",Y,Actress,2016
"Isabelle Huppert",N,Actress,2016
"Ruth Negga",N,Actress,2016
"Natalie Portman",N,Actress,2016
"Meryl Streep",N,Actress,2016
"Mahershala Ali",Y,Supporting Actor,2016
"Jeff Bridges",N,Supporting Actor,2016
"Lucas Hedges",N,Supporting Actor,2016
"Dev Patel",N,Supporting Actor,2016
"Michael Shannon",N,Supporting Actor,2016
"Viola Davis",Y,Supporting Actress,2016
"Naomie Harris",N,Supporting Actress,2016
"Nicole Kidman",N,Supporting Actress,2016
"Octavia Spencer",N,Supporting Actress,2016
"Michelle Williams",N,Supporting Actress,2016
"Spotlight",Y,Picture,2015
"Bridge of Spies",N,Picture,2015
"Brooklyn",N,Picture,2015
"Mad Max: Fury Road",N,Picture,2015
"Room",N,Picture,2015
"The Big Short",N,Picture,2015
"The Martian",N,Picture,2015
"The Revenant",N,Picture,2015
"Leonardo DiCaprio",Y,Actor,2015
"Bryan Cranston",N,Actor,2015
"Matt Damon",N,Actor,2015
"Michael Fassbender",N,Actor,2015
"Eddie Redmayne",N,Actor,2015
"Brie Larson",Y,Actress,2015
"Cate Blanchett",N,Actress,2015
"Jennifer Lawrence",N,Actress,2015
"Charlotte Rampling",N,Actress,2015
"Saoirse Ronan",N,Actress,2015
"Mark Rylance",Y,Supporting Actor,2015
"Christian Bale",N,Supporting Actor,2015
"Tom Hardy",N,Supporting Actor,2015
